source,recipient,issueDomain,amount,flowType,traceability,largeDonorShare,sourceRecordId,sourceUrl,committeeType,spendingPurpose,supportOppose,disclosureLag
BIDEN VICTORY FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,61808602,https://docquery.fec.gov/cgi-bin/fecimg/?202407209665701360,Party - Qualified,contribution,,0.2800
RHODE ISLAND DEMOCRATIC STATE COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,62880189,https://docquery.fec.gov/cgi-bin/fecimg/?202506049761834160,Party - Qualified,contribution,,0.2800
DEMOCRATIC PARTY OF ARKANSAS,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,62880168,https://docquery.fec.gov/cgi-bin/fecimg/?202506049761832787,Party - Qualified,contribution,,0.2800
BIDEN ACTION FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,60622809,https://docquery.fec.gov/cgi-bin/fecimg/?202401319608112939,Party - Qualified,contribution,,0.2800
BIDEN ACTION FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,60757680,https://docquery.fec.gov/cgi-bin/fecimg/?202401319619435669,Party - Qualified,contribution,,0.2800
BIDEN VICTORY FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,60758007,https://docquery.fec.gov/cgi-bin/fecimg/?202401319619435617,Party - Qualified,contribution,,0.2800
BIDEN VICTORY FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,60547629,https://docquery.fec.gov/cgi-bin/fecimg/?202312209599732011,Party - Qualified,contribution,,0.2800
DEMOCRATIC PARTY OF SOUTH CAROLINA,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,0.9999,DIRECT_CONTRIBUTION,0.6200,0.9500,63121106,https://docquery.fec.gov/cgi-bin/fecimg/?202506049761857526,Party - Qualified,contribution,,0.2800
DEMOCRATIC PARTY OF ARKANSAS,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,0.9940,DIRECT_CONTRIBUTION,0.6200,0.9500,61808649,https://docquery.fec.gov/cgi-bin/fecimg/?202407209665701058,Party - Qualified,contribution,,0.2800
IOWA DEMOCRATIC PARTY,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,0.9922,DIRECT_CONTRIBUTION,0.6200,0.9500,62762008,https://docquery.fec.gov/cgi-bin/fecimg/?202506039761790367,Party - Qualified,contribution,,0.2800
